,KOC HOLDING,KUNLUN ENERGY,OFFS.OIL ENGR. 'A' (SSC),MIRAE ASSET SECURITIES,FIRST FINANCIAL HOLDING,SINOLINK SECURITIES(SSC) 'A',BUMRUNGRAD HOSPITAL,APOLLO HOSPS.ENTERPRISE,MOUWASAT MEDICAL SVS.,SAMSUNG C&T,YUNNAN ENERGY NEW (SEC) MATERIALS 'A',BIDVEST GROUP,UNITED MICRO ELTN.,COMPAL ELECTRONICS,TOTVS ON,GAMUDA,PROMOTORA Y OPRD. INFRE.,BUDIMEX,AYALA,PHOENIX MILLS,CHINA OVERSEAS LAND INVESTMENT,YTL CORPORATION,GUANGDONG INVESTMENT,METLEN ENERGY & METALS
2019-01-01,14.2,5.895,4.9,6530,17.59,7.16,187.5,1266.4,39.95,105500,29.06,206.85,11.25,17.45,9.03,2.34,188.13,113.6,871.808,288.22,26.9,0.977,15.14,7.29
2019-01-02,14.18,5.724,4.85,6370,17.41,7.16,187,1258.75,40.3,104000,28.28,200.83,11.1,17.45,9.53,2.31,187.08,114.4,877.62,287.25,25.4,0.968,14.94,7.3
2019-01-03,13.8,5.739,4.86,6360,17.5,7.31,190,1266.65,39.95,104500,27.18,201.39,10.9,17.4,9.75,2.29,189.01,119.4,896.025,288.85,26,0.977,14.96,7.38
2019-01-04,13.63,5.945,4.94,6400,17.46,7.88,187,1293,40.05,107000,29.23,205,10.7,17.1,10.02,2.29,195.32,120,929.929,291.72,26.5,1.006,15.28,7.57
2019-01-07,13.77,5.994,5,6710,17.59,7.84,190.5,1282.1,40.15,108000,28.95,203.68,11,17.45,9.8,2.45,194.09,120,966.738,293.25,26.75,1.006,15.42,7.73
2019-01-08,14.15,5.937,5.05,6590,17.55,7.93,192.5,1249.5,39.9,107000,29.74,200.3,10.95,17.35,9.4,2.46,194.99,120,939.616,288.22,26.8,0.997,15.42,7.71
2019-01-09,14.54,5.987,5.1,6720,17.77,7.87,176,1267.4,39.9,109000,28.24,201.81,11.1,17.6,9.76,2.75,193.11,120,968.676,287.57,27,1.026,15.22,7.87
2019-01-10,14.72,5.987,5.13,6760,17.77,7.8,172,1285.4,39.65,108500,27.72,200.49,11.15,17.55,9.94,2.79,194.59,118.8,968.676,284.15,26.65,1.035,15.12,7.76
2019-01-11,14.98,6.065,5.22,6710,17.77,7.9,178,1292.7,39.55,109000,27.27,201.77,11.2,17.6,10.04,2.81,187.98,118.6,941.553,280,27.45,1.055,15.14,7.7
2019-01-14,14.95,6.016,5.17,6730,17.77,7.86,182,1322.6,40,109500,27.55,204.34,11.1,17.55,10.33,2.76,184.99,112.8,944.459,278.25,27.5,1.113,15.26,7.5
2019-01-15,15.01,6.087,5.21,7040,17.72,8,180,1329.15,39.5,110500,27.02,207,11.25,17.5,10.65,2.77,189.18,114,940.1,288.62,27.95,1.103,15.34,7.7
2019-01-16,15.39,6.136,5.28,7190,17.59,7.95,181,1347.6,39,111000,26.79,210.32,11.3,17.5,10.54,2.87,189.81,114.8,890.213,287.15,28.05,1.103,15.24,7.73
