,TOTALENERGIES,ENI,SHELL (AMS),VALLOUREC,SCHRODERS,EURAZEO,GBL NEW,SWISSQUOTE 'R',SMITH & NEPHEW,ESSILORLUXOTTICA,COLOPLAST B,DEMANT,BUNZL,SCHINDLER 'P',HUHTAMAKI,VIDRALA,ERICSSON B,NOKIA,LOGITECH 'R',CAPGEMINI,BALFOUR BEATTY,WIENERBERGER,SIKA,SIGNIFY,BRITISH LAND,FASTIGHETS BALDER B,PSP SWISS PROPERTY AG,TAG IMMOBILIEN (XET),NATURGY ENERGY,PENNON GROUP,E ON N (XET),CENTRICA
2019-01-01,46.18,13.748,25.655,22.4514,415.31,58.8571,76.08,45.25,1464,110.45,605,184.9,2369,194.7,27.07,55.1453,77.92,5.03,30.92,86.8,249.3,18,124.6,20.47,533.2,42,96.85,18.978,22.26,714.02,8.627,134.9
2019-01-02,46.655,13.78,25.955,22.479,420.41,58.7143,75.12,45.25,1429,110.7,611.2,187.4,2358,194.7,28,55.22,77.14,5.006,30.92,84.26,245.6,18.4,124.6,20.96,529.8,42.5,96.85,19.178,22.53,733.4,8.9,136
2019-01-03,46.255,13.84,25.925,22.6172,414.63,58.1429,74.98,45.2,1396,109.65,595,179,2315,188.9,27.51,55.8916,74.96,4.908,29.11,79.8,243.6,18.1,122.2,20.39,523,42.2,98,19.331,22.35,737.11,8.998,137.3
2019-01-04,47.41,14.34,26.415,24.3851,440.64,59.2381,77.3,47.05,1432.5,110.8,601,187.8,2356,198,27.87,55.9662,76.76,5.102,30.37,82.66,248.5,18.66,124.3,20.8,531,43.17,99.4,19.541,22.53,739.37,9.083,137.3
2019-01-07,47.3,14.214,26.37,24.8202,435.88,59.5714,77.46,47.7,1420,110.6,609.4,194.5,2351,199,27.71,57.2347,78.12,5.212,30.86,84.3,251.2,18.77,125.4,20.55,532.6,44.03,99.65,19.731,22.59,733.19,8.981,131.25
2019-01-08,47.2,14.126,26.325,25.276,444.04,60,78.2,46.9,1409.5,111.2,607,200.8,2395,203.4,27.97,56.4139,78.96,5.26,31.36,87.48,255.6,18.78,120.4,19.67,546.8,44.6,100.8,19.884,22.67,732.78,9.027,131.25
2019-01-09,47.83,14.256,26.3,26.6503,450.5,60.3809,78.7,47.7,1425,111.7,606.8,205.2,2422,207.4,28.4,57.5332,81.46,5.328,32.11,90.8,266.5,19.43,127.2,20.62,543,44.53,101.2,20.036,22.52,728.66,8.934,130.7
2019-01-10,47.6,14.242,26.51,26.3878,449.82,61,79.4,45.9,1446,112.1,601.6,202.4,2442,206.4,28.3,57.4586,78.3,5.294,32.12,90.9,266.4,19.07,129.5,20.6,541.2,44.63,101.1,19.865,22.85,738.96,9.02,132.8
2019-01-11,46.785,14.17,26.405,25.7939,447.78,61.0952,79.16,47.3,1441.5,112.25,600.8,203.6,2442,203.4,27.55,58.1302,76,5.27,32.47,90.1,268.8,19.29,129,20.5,544.6,45.23,102.3,20.036,22.7,738.14,9.007,135.2
2019-01-14,47.05,14.12,26.33,25.0136,441.66,60.5714,78.88,49.4,1424,112.05,592.2,201,2416,200.8,27.74,57.7571,75.48,5.238,32.13,87.7,266.3,18.93,127.1,20.41,549.4,45.03,102.7,19.865,22.73,739.17,9.034,133.7
2019-01-15,46.985,14.25,26.51,24.323,435.88,60.7143,79.42,52.8,1442.5,111.95,595.4,207.8,2431,203,27.91,57.3094,75.52,5.25,32.11,91,266,19.41,128.5,20.25,554.8,44.63,102.9,19.96,23.11,750.71,9.087,134.7
2019-01-16,47.05,14.28,26.315,24.7995,437.07,61.0952,80.4,51.2,1446,111.95,604.6,209.8,2407,204.6,28.07,57.8317,75.76,5.172,32.81,93.66,271.6,19.5,127.3,20.5,560.6,44.7,104.2,19.922,23.09,767,9.011,135.15
2019-01-17,46.915,14.218,26.19,24.6752,434.86,60.8095,80.22,49.25,1446.5,112.1,609.8,204,2412,205,28.1,58.0556,75.9,5.216,32.59,93.86,271.5,19.7,130.5,20.63,563.4,45.27,103.9,19.941,23.26,778.54,9.045,134.75
2019-01-18,47.785,14.608,26.825,24.6683,449.14,61.8095,81.94,50.8,1455,112.05,616,204,2421,207.4,27.99,57.981,77.08,5.304,33.41,96.38,281.1,20.14,135.5,20.97,571.2,45.83,102.6,20.074,23.4,786.99,9.133,137.15
2019-01-21,47.385,14.546,26.91,24.2332,451.35,62.4286,81.48,48.2,1471,112.3,605.8,206.4,2450,208.2,27.99,58.7272,76.2,5.344,33.8,95.64,279.5,19.82,136.5,21.46,562,47,102,20.303,23.35,783.28,9.031,134.15
