,EXXON MOBIL,CHEVRON,CONOCOPHILLIPS,MORGAN STANLEY,BLACKROCK,INTERCONTINENTAL EX.,CME GROUP,ABBOTT LABORATORIES,THERMO FISHER SCIENTIFIC,INTUITIVE SURGICAL,MEDTRONIC,HONEYWELL INTL.,UNION PACIFIC,EATON,UNITED PARCEL SER.'B',AMAZON.COM,MICROSOFT,ADVANCED MICRO DEVICES,HEWLETT PACKARD ENTER.,MARTIN MRTA.MATS.,VULCAN MATERIALS,BUILDERS FIRSTSOURCE,MASCO,PROLOGIS REIT,SIMON PROPERTY GROUP,REALTY INCOME,FEDERAL REALTY INV.TST.,CBRE GROUP CLASS A,DUKE ENERGY,SEMPRA,WEC ENERGY GROUP,AMERICAN WATER WORKS,DIAMONDBACK ENERGY
2019-01-01,68.19,108.79,62.35,39.65,392.8201,75.33,188.12,72.33,223.79,159.6399,90.96,132.12,138.23,68.66,97.53,75.0985,101.57,18.46,13.21,171.87,98.8,10.91,29.24,58.72,167.9834,61.0468,118.04,40.04,86.3,54.095,69.26,90.77,92.7
2019-01-02,69.69,110.69,63.38,40.4,389.4199,75.33,185.58,69.5,219.42,155.3433,87.92,131.83,137.78,68.61,97.21,76.9565,101.12,18.83,13.46,170.94,97.59,11.51,29.55,57.03,165.0035,59.9718,115.81,39.93,84.7,53.38,67.58,88.77,95.22
2019-01-03,68.62,108.57,62.18,39.68,377.98,73.98,181.5,66.22,212.17,150.0799,85.45,130.07,132.68,66.63,94.45,75.014,97.4,17.05,13.18,170.51,96.59,11.48,29.07,56.57,164.8635,60.5045,116.59,37.89,84.67,53.625,67.76,89.12,96.16
2019-01-04,71.15,110.82,63.75,41.3,391.8201,75.67,184.68,68.11,221.76,157.2266,88.13,134.62,137.79,68.53,97.74,78.7695,101.93,19,13.8,176.39,101.53,12.1,30.74,58,167.3734,60.4851,117.9,39.45,85.37,55.23,68.26,89.79,99.93
2019-01-07,71.52,112.26,63.47,41.71,392.9099,73.38,183.75,69.13,224.75,159.4799,82.45,135.37,138.65,68.73,97.41,81.4755,102.06,20.57,14.07,179.17,103.55,12.5,31.6,58.94,169.1333,60.3108,119.42,40.01,85.01,55.22,67.95,88.84,102.63
2019-01-08,72.04,111.77,64.32,41.45,397.9099,72.15,182.66,68.3,229.98,160.9966,83.03,135.09,150.75,68.18,97.42,82.829,102.8,20.75,13.8,178.48,103.14,12.59,31.89,60.9,173.1731,61.192,121.97,41.32,86.08,56.765,68.65,90.14,104.95
2019-01-09,72.42,113.27,66.45,41.74,400.1899,72.44,178.56,69.44,236.39,172.37,84.3,135.72,150.36,69.06,97.92,82.971,104.27,20.19,14.06,179.32,103.42,12.93,32.74,61.31,173.4131,60.9499,121.96,41.61,84.81,56.21,68.24,88.99,106.79
2019-01-10,72.05,113.45,67.94,41.66,399.5,72.78,179.85,69.08,238.86,172.6899,84.84,137.75,154.66,70.19,98.91,82.811,103.6,19.74,14.13,179.53,103.03,12.4,32.81,62.38,173.3431,61.9086,123.7,42.09,85.27,57.215,69.45,90.76,106.13
2019-01-11,71.72,112.54,66.39,41.74,397.9099,73.1,180.55,69.33,240,168.4399,84.84,137.36,153.21,70.22,97.91,82.028,102.8,20.27,14.24,177.99,101.62,12.42,32.56,62.36,172.3432,62.2572,123.41,42.53,84.61,57.03,69.44,90.64,104.1
2019-01-14,71.63,111.72,65.61,42.48,396.4199,72.7,178.67,68.27,235.04,167.5699,84.75,137.61,153.89,70.38,99.14,80.8605,102.05,20.23,14.16,179.21,102.02,12.4,32.44,62.35,170.7332,61.8118,123,42.31,83.66,55.88,68.61,90.43,104.51
2019-01-15,71.67,112.12,66.03,42.88,400.71,73.51,181.96,70.47,235.47,171.8199,86.03,137.77,152.48,69.88,97.56,83.728,105.01,20.38,14.44,176.4,100.41,12.21,31.45,63.21,171.2232,62.7221,124.3,42.59,85.14,56.275,69.91,91.42,105.01
